,url
184,https://docs.microsoft.com/en-us/uwp
185,https://docs.microsoft.com/en-us/xamarin/mac
186,https://docs.microsoft.com/en-us/azure/cognitive-services/
187,https://docs.microsoft.com/en-us/azure/machine-learning
188,https://docs.microsoft.com/en-us/archive/msdn-magazine/2019/august/net-core-cross-platform-iot-programming-with-net-core-3-0
189,https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
190,https://docs.microsoft.com/en-us/dotnet/api/?view=netframework-4.8
191,https://docs.microsoft.com/en-us/dotnet/api/?view=aspnetcore-3.1
192,https://docs.microsoft.com/en-us/dotnet/api/?view=ml-dotnet
193,https://docs.microsoft.com/en-us/dotnet/api/?view=spark-dotnet
194,https://docs.microsoft.com/en-us/contribute/dotnet/dotnet-contribute
195,https://docs.microsoft.com/en-us/aspnet/overview
196,https://docs.microsoft.com/en-us/learn/modules/build-web-api-net-core/
197,https://docs.microsoft.com/en-us/learn/modules/create-razor-pages-aspnet-core/
198,https://docs.microsoft.com/en-us/visualstudio/azure/vs-azure-tools-connected-services-storage?view=vs-2019&viewFallbackFrom=aspnetcore-3.1
199,https://docs.microsoft.com/en-us/azure/visual-studio/vs-storage-aspnet5-getting-started-blobs?toc=/aspnet/core/toc.json&bc=/aspnet/core/breadcrumb/toc.json&view=aspnetcore-3.1
200,https://docs.microsoft.com/en-us/azure/visual-studio/vs-storage-aspnet5-getting-started-tables?toc=/aspnet/core/toc.json&bc=/aspnet/core/breadcrumb/toc.json&view=aspnetcore-3.1
201,https://docs.microsoft.com/en-us/learn/modules/secure-aspnet-core-identity/
202,https://docs.microsoft.com/en-us/visualstudio/debugger/remote-debugging-azure?view=vs-2019&viewFallbackFrom=aspnetcore-3.1
203,https://docs.microsoft.com/en-us/azure/azure-monitor/app/snapshot-debugger?toc=/aspnet/core/toc.json&bc=/aspnet/core/breadcrumb/toc.json&view=aspnetcore-3.1
204,https://docs.microsoft.com/en-us/learn/modules/load-test-web-app-azure-devops/
205,https://docs.microsoft.com/en-us/azure/app-service/app-service-web-get-started-dotnet
206,https://docs.microsoft.com/en-us/visualstudio/containers/container-tools?view=vs-2019.md
207,https://docs.microsoft.com/en-us/learn/modules/host-a-web-app-with-azure-app-service/
208,https://docs.microsoft.com/en-us/azure/app-service/app-service-web-tutorial-dotnet-sqldatabase
209,https://docs.microsoft.com/en-us/azure/app-service/app-service-web-tutorial-connect-msi
210,https://docs.microsoft.com/en-us/azure/app-service/app-service-web-tutorial-rest-api
211,https://docs.microsoft.com/en-us/learn/modules/capture-application-logs-app-service/
212,https://docs.microsoft.com/en-us/dotnet/architecture/modern-web-apps-azure/choose-between-traditional-web-and-single-page-apps
213,https://docs.microsoft.com/en-us/dotnet/architecture/modern-web-apps-azure/architectural-principles
214,https://docs.microsoft.com/en-us/dotnet/architecture/modern-web-apps-azure/common-web-application-architectures
215,https://docs.microsoft.com/en-us/dotnet/architecture/modern-web-apps-azure/common-client-side-web-technologies
216,https://docs.microsoft.com/en-us/dotnet/architecture/modern-web-apps-azure/development-process-for-azure
217,https://docs.microsoft.com/en-us/azure/azure-sql/virtual-machines/windows/
218,https://docs.microsoft.com/en-us/previous-versions/sql/
219,https://docs.microsoft.com/en-us/azure/azure-sql/database/
